TIMESTAMP,wind_record_pred,wind_record_medfilt_pred,wind_record_ewm_7_pred,wind_record_ewm_3_pred,wind_record
2024-07-04 06:00:00,1.626366,1.6411221,1.6493984,1.6468456,0.0
2024-07-04 06:15:00,1.6200656,1.6135323,1.610154,1.6931043,0.0
2024-07-04 06:30:00,1.6168212,1.5194802,1.6169194,1.67852,0.0
2024-07-04 06:45:00,1.5721658,1.5284777,1.5972241,1.659457,0.0
2024-07-04 07:00:00,1.5752023,1.5442169,1.586783,1.608377,0.0
2024-07-04 07:15:00,1.5711635,1.5060072,1.5207187,1.5966363,0.0
2024-07-04 07:30:00,1.4991301,1.5194569,1.5446199,1.6201158,0.0
2024-07-04 07:45:00,1.4916981,1.5321312,1.5240024,1.5829728,0.0
2024-07-04 08:00:00,1.5007538,1.4716456,1.5104674,1.5840123,0.0
2024-07-04 08:15:00,1.4891576,1.4938388,1.4980606,1.5579674,0.0
2024-07-04 08:30:00,1.4789702,1.4665577,1.4831313,1.5139251,0.0
2024-07-04 08:45:00,1.4923831,1.4597933,1.5088962,1.4714527,0.0
2024-07-04 09:00:00,1.4237102,1.4939842,1.435455,1.4650636,0.0
2024-07-04 09:15:00,1.4701806,1.4458444,1.4614614,1.4795926,0.0
2024-07-04 09:30:00,1.484661,1.3934126,1.4064826,1.4481754,0.0
2024-07-04 09:45:00,1.4451374,1.3809576,1.4621207,1.4870181,0.0
2024-07-04 10:00:00,1.4331192,1.4215319,1.4473833,1.4348779,0.0
2024-07-04 10:15:00,1.4592196,1.435365,1.4261888,1.5071712,0.0
2024-07-04 10:30:00,1.4328986,1.3603234,1.4551095,1.4433877,0.0
2024-07-04 10:45:00,1.4134651,1.3901279,1.4293569,1.4754333,0.0
2024-07-04 11:00:00,1.449443,1.3828657,1.4505848,1.4322779,0.0
2024-07-04 11:15:00,1.4627341,1.3616283,1.4289805,1.4601133,0.0
2024-07-04 11:30:00,1.4083697,1.408386,1.4280041,1.4488201,0.0
2024-07-04 11:45:00,1.3998777,1.431936,1.4454404,1.4117064,0.0
2024-07-04 12:00:00,1.452289,1.4057364,1.4555784,1.4282196,0.0
2024-07-04 12:15:00,1.4516453,1.417162,1.456417,1.4702184,0.0
2024-07-04 12:30:00,1.4416567,1.4218628,1.4606487,1.4659321,0.0
2024-07-04 12:45:00,1.4794036,1.4051609,1.4618565,1.4317567,0.0
2024-07-04 13:00:00,1.4115747,1.4744267,1.4188226,1.4504008,0.0
2024-07-04 13:15:00,1.4854711,1.4210804,1.4535924,1.4502311,0.0
2024-07-04 13:30:00,1.5007511,1.4234865,1.4779626,1.4320841,0.0
2024-07-04 13:45:00,1.4755429,1.4176192,1.4752179,1.5065355,0.0
2024-07-04 14:00:00,1.4286348,1.4084423,1.4519776,1.4204602,0.0
2024-07-04 14:15:00,1.4691252,1.4320271,1.4071313,1.4974213,0.0
2024-07-04 14:30:00,1.4270242,1.3634953,1.4631213,1.4643736,0.0
2024-07-04 14:45:00,1.4177979,1.3945277,1.4170195,1.4585819,
2024-07-04 15:00:00,1.4381264,1.3757153,1.4457959,1.4313102,
2024-07-04 15:15:00,1.4494902,1.3635671,1.4215916,1.4501929,
2024-07-04 15:30:00,1.4117962,1.4104376,1.4172591,1.4570158,
2024-07-04 15:45:00,1.4149464,1.4308953,1.4305254,1.401871,
